,pv,wind,demand_el,demand_th
0,0.0,0.08,101.4,273.5248865733207
1,0.0,0.063,98.47500000000001,291.97581524433286
2,0.0,0.054,99.45,302.527668208503
3,0.0,0.048,98.47500000000001,333.1552996221873
4,0.0,0.043,102.375,384.3471054137259
5,0.0,0.04,102.375,651.4423789381801
6,0.0,0.041,102.375,504.8509816808522
7,0.001,0.046,102.375,255.52654938117598
8,0.051,0.045,99.45,719.6622704886659
9,0.151,0.032,92.625,426.04621796749166
10,0.285,0.036,97.5,559.8890422606495
11,0.26,0.039,100.425,331.4099804039693
12,0.201,0.041,101.4,687.3977040326332
13,0.102,0.037,99.45,349.88529425413117
14,0.029,0.039,102.375,608.4097508469653
15,0.0,0.046,103.35000000000001,575.5690972183013
16,0.0,0.054,114.075,422.2741024821475
17,0.0,0.061,113.10000000000001,450.20852137465766
18,0.0,0.07,116.025,545.7309704886659
19,0.0,0.08,110.175,415.62633708149974
20,0.0,0.09,108.22500000000001,273.2032645603257
21,0.0,0.101,107.25,636.3020940326332
22,0.0,0.104,108.22500000000001,375.16481594141834
23,0.0,0.099,105.3,508.3445466580172
24,0.0,0.093,99.45,435.7585981248366
25,0.0,0.086,99.45,142.34457714643264
26,0.0,0.083,97.5,379.7232592375573
27,0.0,0.072,97.5,355.38617303134197
28,0.0,0.062,99.45,375.6563396405075
29,0.0,0.056,96.525,455.05660756386885
30,0.0,0.05,98.47500000000001,360.46360763102734
31,0.007,0.042,97.5,542.9227518132765
32,0.123,0.028,92.625,463.59483808665004
33,0.285,0.013,89.7,416.1941306333973
34,0.383,0.004,89.7,266.4846300434578
35,0.341,0.002,91.65,515.0724204990805
36,0.246,0.007,93.60000000000001,401.0667252041108
37,0.119,0.019,95.55,366.4482788635788
38,0.031,0.042,96.525,357.4961383407977
39,0.0,0.075,97.5,436.5835231129863
40,0.0,0.108,106.275,379.76888213458244
41,0.0,0.144,112.125,476.77565063339733
42,0.0,0.171,113.10000000000001,368.9852591322123
43,0.0,0.171,114.075,515.2928418132764
44,0.0,0.159,113.10000000000001,481.8074623360575
45,0.0,0.158,111.15,381.6866337700842
46,0.0,0.159,109.2,327.81122820648085
47,0.0,0.156,104.325,400.3384557124061
48,0.0,0.16,101.4,385.9715016016631
49,0.0,0.159,99.45,405.387684422387
50,0.0,0.167,96.525,387.5911210279635
51,0.0,0.178,98.47500000000001,418.1161823347464
52,0.0,0.209,100.425,364.99404776903623
53,0.0,0.242,99.45,411.4871060001629
54,0.0,0.284,98.47500000000001,466.52908712367497
55,0.0,0.35,99.45,568.5962703348278
56,0.004,0.374,95.55,551.096870151557
57,0.015,0.343,89.7,364.7884497850153
58,0.027,0.318,89.7,484.6354045101091
59,0.032,0.289,92.625,386.190977537991
60,0.028,0.249,94.575,594.0795849005378
61,0.015,0.208,102.375,384.6922639602966
62,0.002,0.159,97.5,419.0137998089025
63,0.0,0.133,104.325,507.59026829496156
64,0.0,0.121,106.275,474.6602011156855
65,0.0,0.113,112.125,470.31686978501523
66,0.0,0.104,119.925,386.83329845434514
67,0.0,0.087,115.05,559.1014503348277
68,0.0,0.082,113.10000000000001,482.7554944862219
69,0.0,0.081,111.15,468.7595646933799
70,0.0,0.085,108.22500000000001,328.73028756187824
71,0.0,0.096,105.3,498.5230442152289
72,0.0,0.105,101.4,351.73278882819557
73,0.0,0.11,99.45,424.02731090946713
74,0.0,0.109,96.525,398.3940128939867
75,0.0,0.106,98.47500000000001,516.893055013959
76,0.0,0.1,100.425,467.5767913351751
77,0.0,0.093,106.275,719.3345859427765
78,0.0,0.094,108.22500000000001,654.9841140163079
79,0.0,0.09,125.775,497.77680798534726
80,0.038,0.078,139.425,737.3528239389063
81,0.086,0.076,140.4,502.7441958460245
82,0.119,0.071,146.25,679.3025597763634
83,0.121,0.071,151.125,641.3360496989619
84,0.108,0.077,154.05,433.3293816641312
85,0.068,0.086,154.05,659.1396976370407
86,0.017,0.093,144.3,691.3811496409107
87,0.0,0.115,146.25,365.42873967961145
88,0.0,0.123,145.275,513.949121760883
89,0.0,0.118,131.625,726.0992658460245
